gain_type,room_type,n_people,peak_sensible,peak_latent,unit,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
occupancy,single_bedroom,1,75,55,W,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7
occupancy,double_bedroom,2,150,110,W,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.7
occupancy,studio,2,150,110,W,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7
occupancy,living_kitchen,1,75,55,W,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
occupancy,living,1,75,55,W,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0
occupancy,kitchen,1,75,55,W,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0
equipment,single_bedroom,,80,,W,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13
equipment,double_bedroom,,80,,W,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13
equipment,studio,,450,,W,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,1,1,0.44,0.44,0.24,0.24
equipment,living_kitchen,,450,,W,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,1,1,0.44,0.44,0.24,0.24
equipment,living,,150,,W,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.4,0.4
equipment,kitchen,,300,,W,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,1,1,0.17,0.17,0.17,0.17
lighting,,,2,,W/m2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
